,text
0,"Sentiment(polarity=0.1, subjectivity=0.4)"
1,"Sentiment(polarity=0.0787878787878788, subjectivity=0.2792929292929293)"
2,"Sentiment(polarity=0.0, subjectivity=0.0)"
3,"Sentiment(polarity=0.1, subjectivity=0.4)"
4,"Sentiment(polarity=0.0, subjectivity=0.4)"
5,"Sentiment(polarity=0.0, subjectivity=0.0)"
6,"Sentiment(polarity=0.0, subjectivity=0.0)"
7,"Sentiment(polarity=0.0, subjectivity=0.0)"
8,"Sentiment(polarity=0.0, subjectivity=0.0)"
9,"Sentiment(polarity=0.2, subjectivity=0.2)"
10,"Sentiment(polarity=-0.075, subjectivity=0.45000000000000007)"
11,"Sentiment(polarity=0.0, subjectivity=0.0)"
12,"Sentiment(polarity=0.25, subjectivity=0.25)"
13,"Sentiment(polarity=0.0, subjectivity=0.0)"
14,"Sentiment(polarity=0.4, subjectivity=0.5)"
15,"Sentiment(polarity=0.2, subjectivity=0.2)"
16,"Sentiment(polarity=0.1, subjectivity=0.4)"
17,"Sentiment(polarity=0.6, subjectivity=0.95)"
18,"Sentiment(polarity=-0.3, subjectivity=0.4)"
19,"Sentiment(polarity=-0.5, subjectivity=0.5)"
20,"Sentiment(polarity=-1.0, subjectivity=1.0)"
21,"Sentiment(polarity=0.0, subjectivity=0.125)"
22,"Sentiment(polarity=0.16363636363636364, subjectivity=0.7727272727272727)"
23,"Sentiment(polarity=0.0, subjectivity=0.0)"
24,"Sentiment(polarity=0.0, subjectivity=0.0)"
25,"Sentiment(polarity=0.0, subjectivity=0.0)"
26,"Sentiment(polarity=0.0, subjectivity=0.0)"
27,"Sentiment(polarity=-0.2, subjectivity=0.3)"
28,"Sentiment(polarity=0.0, subjectivity=0.0)"
29,"Sentiment(polarity=0.5, subjectivity=0.5333333333333333)"
30,"Sentiment(polarity=0.0, subjectivity=0.0)"
31,"Sentiment(polarity=0.13636363636363635, subjectivity=0.45454545454545453)"
32,"Sentiment(polarity=0.0, subjectivity=0.0)"
33,"Sentiment(polarity=0.0, subjectivity=0.0)"
34,"Sentiment(polarity=-0.25, subjectivity=0.45)"
35,"Sentiment(polarity=0.3181818181818182, subjectivity=0.6772727272727272)"
36,"Sentiment(polarity=0.5, subjectivity=0.5)"
37,"Sentiment(polarity=0.0, subjectivity=0.0)"
38,"Sentiment(polarity=-0.08806818181818182, subjectivity=0.59375)"
39,"Sentiment(polarity=0.0, subjectivity=0.0)"
40,"Sentiment(polarity=0.0, subjectivity=0.0)"
41,"Sentiment(polarity=0.7, subjectivity=0.9)"
42,"Sentiment(polarity=0.3666666666666667, subjectivity=0.9444444444444445)"
43,"Sentiment(polarity=0.25, subjectivity=0.3333333333333333)"
44,"Sentiment(polarity=0.0, subjectivity=0.3)"
45,"Sentiment(polarity=0.0, subjectivity=0.0)"
46,"Sentiment(polarity=0.0, subjectivity=0.0)"
47,"Sentiment(polarity=-0.3499999999999999, subjectivity=0.3333333333333333)"
48,"Sentiment(polarity=-0.4, subjectivity=0.6)"
49,"Sentiment(polarity=-0.5, subjectivity=0.9)"
50,"Sentiment(polarity=0.5, subjectivity=0.8888888888888888)"
51,"Sentiment(polarity=0.2857142857142857, subjectivity=0.5357142857142857)"
52,"Sentiment(polarity=0.4, subjectivity=0.7)"
53,"Sentiment(polarity=0.8, subjectivity=0.9)"
54,"Sentiment(polarity=0.25, subjectivity=0.7)"
55,"Sentiment(polarity=-0.1875, subjectivity=0.5)"
56,"Sentiment(polarity=0.0, subjectivity=0.05)"
57,"Sentiment(polarity=0.0, subjectivity=0.0)"
58,"Sentiment(polarity=0.0, subjectivity=0.0)"
59,"Sentiment(polarity=0.2333333333333333, subjectivity=0.31666666666666665)"
60,"Sentiment(polarity=0.1, subjectivity=0.4)"
61,"Sentiment(polarity=-1.0, subjectivity=1.0)"
62,"Sentiment(polarity=-0.6, subjectivity=0.7)"
63,"Sentiment(polarity=-0.14940476190476193, subjectivity=0.5059523809523809)"
64,"Sentiment(polarity=0.0, subjectivity=0.0)"
65,"Sentiment(polarity=0.0, subjectivity=0.0)"
66,"Sentiment(polarity=-0.30000000000000004, subjectivity=0.39999999999999997)"
67,"Sentiment(polarity=0.0, subjectivity=0.0)"
68,"Sentiment(polarity=0.0, subjectivity=0.0)"
69,"Sentiment(polarity=0.0, subjectivity=0.0)"
70,"Sentiment(polarity=0.35, subjectivity=0.65)"
71,"Sentiment(polarity=0.0, subjectivity=0.0)"
72,"Sentiment(polarity=0.6, subjectivity=0.9)"
73,"Sentiment(polarity=-0.2, subjectivity=0.44999999999999996)"
74,"Sentiment(polarity=0.0, subjectivity=0.0)"
75,"Sentiment(polarity=0.0, subjectivity=0.0)"
76,"Sentiment(polarity=0.0, subjectivity=0.0)"
77,"Sentiment(polarity=0.0, subjectivity=0.0)"
78,"Sentiment(polarity=0.16666666666666666, subjectivity=0.3333333333333333)"
79,"Sentiment(polarity=0.0, subjectivity=0.6)"
80,"Sentiment(polarity=-0.09722222222222221, subjectivity=0.21388888888888888)"
81,"Sentiment(polarity=0.0, subjectivity=0.0)"
82,"Sentiment(polarity=0.0, subjectivity=0.1)"
83,"Sentiment(polarity=-0.25625, subjectivity=0.34375)"
84,"Sentiment(polarity=-0.03333333333333333, subjectivity=0.26666666666666666)"
85,"Sentiment(polarity=-0.1, subjectivity=0.5)"
86,"Sentiment(polarity=0.0, subjectivity=0.0)"
87,"Sentiment(polarity=0.0, subjectivity=0.1)"
88,"Sentiment(polarity=-0.10833333333333334, subjectivity=1.0)"
89,"Sentiment(polarity=0.11363636363636363, subjectivity=0.7727272727272727)"
90,"Sentiment(polarity=0.0, subjectivity=0.0)"
91,"Sentiment(polarity=0.0, subjectivity=0.0)"
92,"Sentiment(polarity=0.0, subjectivity=0.0)"
93,"Sentiment(polarity=0.0, subjectivity=0.0)"
94,"Sentiment(polarity=-0.5, subjectivity=0.6666666666666666)"
95,"Sentiment(polarity=0.0, subjectivity=0.125)"
96,"Sentiment(polarity=-0.1, subjectivity=0.25)"
97,"Sentiment(polarity=0.21428571428571427, subjectivity=0.42857142857142855)"
98,"Sentiment(polarity=0.0, subjectivity=0.0)"
99,"Sentiment(polarity=0.0, subjectivity=0.0)"
100,"Sentiment(polarity=0.5, subjectivity=0.8)"
101,"Sentiment(polarity=0.27777777777777773, subjectivity=0.5944444444444444)"
102,"Sentiment(polarity=0.0, subjectivity=0.0)"
103,"Sentiment(polarity=0.3666666666666667, subjectivity=0.9444444444444445)"
104,"Sentiment(polarity=0.375, subjectivity=1.0)"
105,"Sentiment(polarity=0.0, subjectivity=0.0)"
106,"Sentiment(polarity=-0.2, subjectivity=0.4)"
107,"Sentiment(polarity=0.1, subjectivity=0.4)"
108,"Sentiment(polarity=0.0, subjectivity=0.1)"
109,"Sentiment(polarity=-0.3, subjectivity=0.55)"
110,"Sentiment(polarity=0.0, subjectivity=0.0)"
111,"Sentiment(polarity=-0.35, subjectivity=0.3666666666666667)"
112,"Sentiment(polarity=0.0, subjectivity=0.0)"
113,"Sentiment(polarity=-0.03333333333333333, subjectivity=0.13333333333333333)"
114,"Sentiment(polarity=0.0, subjectivity=0.0)"
115,"Sentiment(polarity=0.26666666666666666, subjectivity=0.25)"
116,"Sentiment(polarity=0.0, subjectivity=0.3125)"
117,"Sentiment(polarity=0.3, subjectivity=0.5)"
118,"Sentiment(polarity=0.5, subjectivity=0.5)"
119,"Sentiment(polarity=0.0, subjectivity=0.0)"
120,"Sentiment(polarity=0.0, subjectivity=0.5)"
121,"Sentiment(polarity=0.36818181818181817, subjectivity=0.75)"
122,"Sentiment(polarity=-0.1, subjectivity=0.125)"
123,"Sentiment(polarity=0.0625, subjectivity=0.5)"
124,"Sentiment(polarity=-0.35, subjectivity=0.9)"
125,"Sentiment(polarity=0.0625, subjectivity=0.5)"
126,"Sentiment(polarity=0.4, subjectivity=0.6)"
127,"Sentiment(polarity=0.0, subjectivity=0.0)"
128,"Sentiment(polarity=0.0, subjectivity=0.0)"
129,"Sentiment(polarity=0.0, subjectivity=0.0)"
130,"Sentiment(polarity=0.0, subjectivity=0.0)"
131,"Sentiment(polarity=0.2, subjectivity=0.2)"
132,"Sentiment(polarity=0.0, subjectivity=0.0)"
133,"Sentiment(polarity=0.0, subjectivity=0.0)"
134,"Sentiment(polarity=0.1, subjectivity=0.4)"
135,"Sentiment(polarity=-0.1, subjectivity=0.1)"
136,"Sentiment(polarity=-0.05833333333333335, subjectivity=0.25)"
137,"Sentiment(polarity=-0.125, subjectivity=0.375)"
138,"Sentiment(polarity=0.0, subjectivity=0.0)"
139,"Sentiment(polarity=0.5, subjectivity=0.5)"
140,"Sentiment(polarity=0.0, subjectivity=0.0)"
141,"Sentiment(polarity=-0.125, subjectivity=0.375)"
142,"Sentiment(polarity=-0.3, subjectivity=0.7333333333333334)"
143,"Sentiment(polarity=1.0, subjectivity=0.3)"
144,"Sentiment(polarity=-0.25, subjectivity=0.25)"
145,"Sentiment(polarity=0.6, subjectivity=0.95)"
146,"Sentiment(polarity=0.13636363636363635, subjectivity=0.45454545454545453)"
147,"Sentiment(polarity=0.375, subjectivity=0.75)"
149,"Sentiment(polarity=0.0, subjectivity=0.0)"
150,"Sentiment(polarity=0.0, subjectivity=0.5)"
151,"Sentiment(polarity=-0.5, subjectivity=0.5)"
152,"Sentiment(polarity=0.0, subjectivity=0.0)"
153,"Sentiment(polarity=0.0, subjectivity=0.0)"
154,"Sentiment(polarity=0.5, subjectivity=0.6)"
155,"Sentiment(polarity=0.3, subjectivity=0.525)"
156,"Sentiment(polarity=-0.3666666666666667, subjectivity=0.6)"
157,"Sentiment(polarity=0.09962121212121211, subjectivity=0.4666666666666666)"
158,"Sentiment(polarity=-0.1, subjectivity=0.35)"
159,"Sentiment(polarity=0.0, subjectivity=0.0)"
