,text
0,"{'neg': 0.0, 'neu': 0.722, 'pos': 0.278, 'compound': 0.4019}"
1,"{'neg': 0.197, 'neu': 0.803, 'pos': 0.0, 'compound': -0.4019}"
2,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
3,"{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.296}"
4,"{'neg': 0.0, 'neu': 0.761, 'pos': 0.239, 'compound': 0.5267}"
5,"{'neg': 0.681, 'neu': 0.319, 'pos': 0.0, 'compound': -0.7506}"
6,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
7,"{'neg': 0.235, 'neu': 0.422, 'pos': 0.343, 'compound': 0.2023}"
8,"{'neg': 0.34, 'neu': 0.486, 'pos': 0.173, 'compound': -0.4118}"
9,"{'neg': 0.0, 'neu': 0.288, 'pos': 0.712, 'compound': 0.7506}"
10,"{'neg': 0.526, 'neu': 0.474, 'pos': 0.0, 'compound': -0.9022}"
11,"{'neg': 0.34, 'neu': 0.486, 'pos': 0.173, 'compound': -0.4118}"
12,"{'neg': 0.0, 'neu': 0.122, 'pos': 0.878, 'compound': 0.7351}"
13,"{'neg': 0.0, 'neu': 0.796, 'pos': 0.204, 'compound': 0.3182}"
14,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
15,"{'neg': 0.0, 'neu': 0.562, 'pos': 0.438, 'compound': 0.7184}"
16,"{'neg': 0.0, 'neu': 0.821, 'pos': 0.179, 'compound': 0.34}"
17,"{'neg': 0.216, 'neu': 0.784, 'pos': 0.0, 'compound': -0.296}"
18,"{'neg': 0.237, 'neu': 0.763, 'pos': 0.0, 'compound': -0.4767}"
19,"{'neg': 0.565, 'neu': 0.435, 'pos': 0.0, 'compound': -0.0772}"
20,"{'neg': 0.234, 'neu': 0.645, 'pos': 0.121, 'compound': -0.34}"
21,"{'neg': 0.154, 'neu': 0.846, 'pos': 0.0, 'compound': -0.2516}"
22,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
23,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
