,text
0,"Sentiment(polarity=0.5, subjectivity=0.5)"
1,"Sentiment(polarity=0.0, subjectivity=0.0)"
2,"Sentiment(polarity=0.0, subjectivity=0.0)"
3,"Sentiment(polarity=0.13636363636363635, subjectivity=0.4772727272727273)"
4,"Sentiment(polarity=0.0, subjectivity=0.0)"
5,"Sentiment(polarity=-0.2, subjectivity=0.4)"
6,"Sentiment(polarity=0.0, subjectivity=0.0)"
7,"Sentiment(polarity=0.0, subjectivity=0.0)"
8,"Sentiment(polarity=-0.36666666666666664, subjectivity=0.45555555555555555)"
9,"Sentiment(polarity=0.0, subjectivity=0.0)"
10,"Sentiment(polarity=-0.2, subjectivity=0.6)"
11,"Sentiment(polarity=-0.36666666666666664, subjectivity=0.45555555555555555)"
12,"Sentiment(polarity=0.5, subjectivity=0.5)"
13,"Sentiment(polarity=0.09999999999999999, subjectivity=0.4388888888888889)"
14,"Sentiment(polarity=0.0, subjectivity=0.0)"
15,"Sentiment(polarity=0.43333333333333335, subjectivity=0.43333333333333335)"
16,"Sentiment(polarity=0.0, subjectivity=0.06666666666666667)"
17,"Sentiment(polarity=0.0, subjectivity=0.0)"
18,"Sentiment(polarity=0.0, subjectivity=0.0)"
19,"Sentiment(polarity=0.0, subjectivity=0.0)"
20,"Sentiment(polarity=-0.375, subjectivity=0.625)"
21,"Sentiment(polarity=-0.19583333333333333, subjectivity=0.39999999999999997)"
22,"Sentiment(polarity=-0.075, subjectivity=0.4)"
23,"Sentiment(polarity=0.5, subjectivity=0.9)"
24,"Sentiment(polarity=0.4, subjectivity=1.0)"
25,"Sentiment(polarity=0.0, subjectivity=0.0)"
26,"Sentiment(polarity=0.5, subjectivity=0.8888888888888888)"
27,"Sentiment(polarity=0.25, subjectivity=0.7)"
28,"Sentiment(polarity=-0.3194444444444444, subjectivity=0.5416666666666667)"
29,"Sentiment(polarity=-0.2, subjectivity=0.44999999999999996)"
30,"Sentiment(polarity=0.3, subjectivity=0.45)"
31,"Sentiment(polarity=0.0, subjectivity=0.0)"
32,"Sentiment(polarity=0.0, subjectivity=0.06666666666666667)"
33,"Sentiment(polarity=0.0, subjectivity=0.0)"
34,"Sentiment(polarity=0.0, subjectivity=0.0)"
35,"Sentiment(polarity=0.4, subjectivity=1.0)"
36,"Sentiment(polarity=0.1, subjectivity=0.4)"
37,"Sentiment(polarity=0.21428571428571427, subjectivity=0.42857142857142855)"
38,"Sentiment(polarity=0.06666666666666667, subjectivity=0.20555555555555557)"
39,"Sentiment(polarity=0.19999999999999998, subjectivity=0.7666666666666667)"
40,"Sentiment(polarity=0.475, subjectivity=0.575)"
41,"Sentiment(polarity=-0.16666666666666666, subjectivity=0.3333333333333333)"
42,"Sentiment(polarity=0.8, subjectivity=0.75)"
43,"Sentiment(polarity=0.0, subjectivity=0.0)"
44,"Sentiment(polarity=-0.03636363636363636, subjectivity=0.4727272727272727)"
45,"Sentiment(polarity=0.3, subjectivity=0.475)"
46,"Sentiment(polarity=0.0, subjectivity=0.0)"
47,"Sentiment(polarity=0.0, subjectivity=0.06666666666666667)"
48,"Sentiment(polarity=0.0, subjectivity=0.0)"
49,"Sentiment(polarity=0.4, subjectivity=0.4)"
50,"Sentiment(polarity=0.0, subjectivity=0.0)"
51,"Sentiment(polarity=0.0, subjectivity=0.29166666666666663)"
52,"Sentiment(polarity=-0.06666666666666667, subjectivity=0.16666666666666666)"
53,"Sentiment(polarity=0.1875, subjectivity=0.5625)"
54,"Sentiment(polarity=0.0, subjectivity=0.0)"
55,"Sentiment(polarity=-0.125, subjectivity=0.15)"
56,"Sentiment(polarity=-0.1, subjectivity=0.1)"
57,"Sentiment(polarity=0.0, subjectivity=0.0)"
58,"Sentiment(polarity=0.2857142857142857, subjectivity=0.5357142857142857)"
59,"Sentiment(polarity=0.31666666666666665, subjectivity=0.6111111111111112)"
60,"Sentiment(polarity=0.0, subjectivity=0.0)"
61,"Sentiment(polarity=0.0, subjectivity=0.0)"
62,"Sentiment(polarity=0.35714285714285715, subjectivity=0.5714285714285714)"
63,"Sentiment(polarity=0.1, subjectivity=0.2833333333333333)"
64,"Sentiment(polarity=0.0, subjectivity=0.0)"
65,"Sentiment(polarity=-0.05, subjectivity=0.4)"
