,text
0,"Sentiment(polarity=0.17575757575757575, subjectivity=0.3707070707070707)"
1,"Sentiment(polarity=0.0, subjectivity=0.0)"
2,"Sentiment(polarity=-0.30000000000000004, subjectivity=0.39999999999999997)"
3,"Sentiment(polarity=0.25, subjectivity=0.7)"
4,"Sentiment(polarity=-0.15, subjectivity=0.25)"
5,"Sentiment(polarity=0.5, subjectivity=0.8333333333333334)"
6,"Sentiment(polarity=0.1, subjectivity=0.4)"
7,"Sentiment(polarity=0.0, subjectivity=0.5)"
8,"Sentiment(polarity=0.4, subjectivity=1.0)"
9,"Sentiment(polarity=0.5, subjectivity=0.8333333333333334)"
10,"Sentiment(polarity=0.2857142857142857, subjectivity=0.5357142857142857)"
11,"Sentiment(polarity=0.7, subjectivity=0.8)"
12,"Sentiment(polarity=-0.2, subjectivity=0.44999999999999996)"
13,"Sentiment(polarity=-0.25, subjectivity=0.4)"
14,"Sentiment(polarity=0.125, subjectivity=0.3)"
15,"Sentiment(polarity=0.0, subjectivity=0.0)"
16,"Sentiment(polarity=0.1, subjectivity=0.4)"
17,"Sentiment(polarity=0.0, subjectivity=0.06666666666666667)"
18,"Sentiment(polarity=0.2, subjectivity=0.5)"
19,"Sentiment(polarity=0.12, subjectivity=0.54)"
20,"Sentiment(polarity=-0.0638888888888889, subjectivity=0.28055555555555556)"
21,"Sentiment(polarity=-0.05, subjectivity=0.7)"
22,"Sentiment(polarity=0.25, subjectivity=0.7)"
23,"Sentiment(polarity=-0.1, subjectivity=0.1)"
24,"Sentiment(polarity=0.0, subjectivity=0.0)"
25,"Sentiment(polarity=0.15, subjectivity=0.46944444444444444)"
26,"Sentiment(polarity=-0.08571428571428572, subjectivity=0.15714285714285714)"
27,"Sentiment(polarity=0.0, subjectivity=0.0)"
28,"Sentiment(polarity=0.1, subjectivity=0.4)"
29,"Sentiment(polarity=0.6, subjectivity=0.55)"
30,"Sentiment(polarity=0.0, subjectivity=0.0)"
