,text
0,"{'neg': 0.0, 'neu': 0.856, 'pos': 0.144, 'compound': 0.4019}"
1,"{'neg': 0.0, 'neu': 0.714, 'pos': 0.286, 'compound': 0.8016}"
2,"{'neg': 0.0, 'neu': 0.809, 'pos': 0.191, 'compound': 0.3818}"
3,"{'neg': 0.0, 'neu': 0.714, 'pos': 0.286, 'compound': 0.5574}"
4,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
5,"{'neg': 0.1, 'neu': 0.77, 'pos': 0.13, 'compound': 0.1695}"
6,"{'neg': 0.24, 'neu': 0.76, 'pos': 0.0, 'compound': -0.5848}"
7,"{'neg': 0.0, 'neu': 0.826, 'pos': 0.174, 'compound': 0.4939}"
8,"{'neg': 0.242, 'neu': 0.758, 'pos': 0.0, 'compound': -0.1531}"
9,"{'neg': 0.252, 'neu': 0.748, 'pos': 0.0, 'compound': -0.4019}"
10,"{'neg': 0.0, 'neu': 0.089, 'pos': 0.911, 'compound': 0.8805}"
11,"{'neg': 0.217, 'neu': 0.783, 'pos': 0.0, 'compound': -0.5574}"
12,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
13,"{'neg': 0.175, 'neu': 0.656, 'pos': 0.169, 'compound': -0.0258}"
14,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
15,"{'neg': 0.18, 'neu': 0.82, 'pos': 0.0, 'compound': -0.5106}"
16,"{'neg': 0.0, 'neu': 0.909, 'pos': 0.091, 'compound': 0.0772}"
17,"{'neg': 0.0, 'neu': 0.239, 'pos': 0.761, 'compound': 0.4926}"
18,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
19,"{'neg': 0.18, 'neu': 0.82, 'pos': 0.0, 'compound': -0.5106}"
20,"{'neg': 0.0, 'neu': 0.884, 'pos': 0.116, 'compound': 0.4404}"
21,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
22,"{'neg': 0.086, 'neu': 0.73, 'pos': 0.184, 'compound': 0.4256}"
23,"{'neg': 0.175, 'neu': 0.825, 'pos': 0.0, 'compound': -0.5256}"
24,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
25,"{'neg': 0.0, 'neu': 0.803, 'pos': 0.197, 'compound': 0.4019}"
26,"{'neg': 0.487, 'neu': 0.256, 'pos': 0.256, 'compound': -0.4019}"
27,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
28,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
29,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
30,"{'neg': 0.206, 'neu': 0.794, 'pos': 0.0, 'compound': -0.0772}"
31,"{'neg': 0.329, 'neu': 0.671, 'pos': 0.0, 'compound': -0.2411}"
32,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
33,"{'neg': 0.0, 'neu': 0.892, 'pos': 0.108, 'compound': 0.3182}"
34,"{'neg': 0.203, 'neu': 0.797, 'pos': 0.0, 'compound': -0.6523}"
35,"{'neg': 0.192, 'neu': 0.739, 'pos': 0.069, 'compound': -0.5423}"
36,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
37,"{'neg': 0.216, 'neu': 0.784, 'pos': 0.0, 'compound': -0.296}"
38,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
39,"{'neg': 0.216, 'neu': 0.653, 'pos': 0.131, 'compound': -0.4019}"
40,"{'neg': 0.0, 'neu': 0.668, 'pos': 0.332, 'compound': 0.5399}"
41,"{'neg': 0.0, 'neu': 0.549, 'pos': 0.451, 'compound': 0.8658}"
42,"{'neg': 0.155, 'neu': 0.628, 'pos': 0.218, 'compound': 0.128}"
43,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
44,"{'neg': 0.223, 'neu': 0.608, 'pos': 0.169, 'compound': -0.2023}"
45,"{'neg': 0.189, 'neu': 0.671, 'pos': 0.14, 'compound': -0.2003}"
46,"{'neg': 0.0, 'neu': 0.864, 'pos': 0.136, 'compound': 0.0258}"
47,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
48,"{'neg': 0.329, 'neu': 0.671, 'pos': 0.0, 'compound': -0.2411}"
49,"{'neg': 0.0, 'neu': 0.794, 'pos': 0.206, 'compound': 0.6666}"
50,"{'neg': 0.0, 'neu': 0.182, 'pos': 0.818, 'compound': 0.6696}"
51,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
52,"{'neg': 0.159, 'neu': 0.841, 'pos': 0.0, 'compound': -0.5267}"
53,"{'neg': 0.0, 'neu': 0.885, 'pos': 0.115, 'compound': 0.3818}"
54,"{'neg': 0.0, 'neu': 0.797, 'pos': 0.203, 'compound': 0.4215}"
55,"{'neg': 0.201, 'neu': 0.636, 'pos': 0.163, 'compound': -0.2732}"
56,"{'neg': 0.0, 'neu': 0.695, 'pos': 0.305, 'compound': 0.6908}"
57,"{'neg': 0.18, 'neu': 0.82, 'pos': 0.0, 'compound': -0.5106}"
58,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
59,"{'neg': 0.0, 'neu': 0.758, 'pos': 0.242, 'compound': 0.6249}"
60,"{'neg': 0.155, 'neu': 0.628, 'pos': 0.218, 'compound': 0.128}"
61,"{'neg': 0.396, 'neu': 0.604, 'pos': 0.0, 'compound': -0.8689}"
62,"{'neg': 0.0, 'neu': 0.884, 'pos': 0.116, 'compound': 0.3036}"
63,"{'neg': 0.142, 'neu': 0.569, 'pos': 0.289, 'compound': 0.4767}"
64,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
65,"{'neg': 0.0, 'neu': 0.887, 'pos': 0.113, 'compound': 0.3182}"
66,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
67,"{'neg': 0.162, 'neu': 0.838, 'pos': 0.0, 'compound': -0.4767}"
68,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
69,"{'neg': 0.124, 'neu': 0.618, 'pos': 0.258, 'compound': 0.3382}"
