,text
0,"Sentiment(polarity=-0.1, subjectivity=0.175)"
1,"Sentiment(polarity=0.5, subjectivity=0.5333333333333333)"
2,"Sentiment(polarity=0.05000000000000001, subjectivity=0.19166666666666665)"
3,"Sentiment(polarity=0.22727272727272727, subjectivity=0.5454545454545454)"
4,"Sentiment(polarity=0.0, subjectivity=0.0)"
5,"Sentiment(polarity=0.1, subjectivity=0.4)"
6,"Sentiment(polarity=0.14285714285714285, subjectivity=0.26785714285714285)"
7,"Sentiment(polarity=0.23392857142857143, subjectivity=0.4214285714285714)"
8,"Sentiment(polarity=0.0, subjectivity=0.0)"
9,"Sentiment(polarity=0.0, subjectivity=0.05)"
10,"Sentiment(polarity=0.65, subjectivity=0.6)"
11,"Sentiment(polarity=0.0, subjectivity=0.0)"
12,"Sentiment(polarity=0.09226190476190477, subjectivity=0.2755952380952381)"
13,"Sentiment(polarity=0.0, subjectivity=0.0)"
14,"Sentiment(polarity=0.5, subjectivity=1.0)"
15,"Sentiment(polarity=-0.5, subjectivity=0.3)"
16,"Sentiment(polarity=0.13636363636363635, subjectivity=0.45454545454545453)"
17,"Sentiment(polarity=0.5, subjectivity=0.8888888888888888)"
18,"Sentiment(polarity=0.0, subjectivity=0.0)"
19,"Sentiment(polarity=-0.5, subjectivity=0.3)"
20,"Sentiment(polarity=0.5, subjectivity=0.5)"
21,"Sentiment(polarity=0.0, subjectivity=0.0)"
22,"Sentiment(polarity=0.0, subjectivity=0.0)"
23,"Sentiment(polarity=-0.3, subjectivity=0.5125)"
24,"Sentiment(polarity=0.0, subjectivity=0.0)"
25,"Sentiment(polarity=0.0, subjectivity=0.1)"
26,"Sentiment(polarity=-0.30000000000000004, subjectivity=0.6)"
28,"Sentiment(polarity=0.0, subjectivity=0.0)"
29,"Sentiment(polarity=0.0, subjectivity=0.125)"
30,"Sentiment(polarity=-0.5, subjectivity=1.0)"
31,"Sentiment(polarity=0.35, subjectivity=0.65)"
32,"Sentiment(polarity=0.35, subjectivity=0.55)"
33,"Sentiment(polarity=0.07272727272727272, subjectivity=0.2)"
