,text
0,"{'neg': 0.1, 'neu': 0.77, 'pos': 0.13, 'compound': 0.1695}"
1,"{'neg': 0.355, 'neu': 0.645, 'pos': 0.0, 'compound': -0.296}"
2,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
3,"{'neg': 0.192, 'neu': 0.739, 'pos': 0.069, 'compound': -0.5423}"
4,"{'neg': 0.171, 'neu': 0.829, 'pos': 0.0, 'compound': -0.4767}"
5,"{'neg': 0.265, 'neu': 0.735, 'pos': 0.0, 'compound': -0.5574}"
6,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
7,"{'neg': 0.121, 'neu': 0.744, 'pos': 0.135, 'compound': 0.0772}"
8,"{'neg': 0.0, 'neu': 0.476, 'pos': 0.524, 'compound': 0.296}"
9,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
10,"{'neg': 0.0, 'neu': 0.762, 'pos': 0.238, 'compound': 0.3612}"
11,"{'neg': 0.122, 'neu': 0.878, 'pos': 0.0, 'compound': -0.3612}"
12,"{'neg': 0.0, 'neu': 0.435, 'pos': 0.565, 'compound': 0.6369}"
13,"{'neg': 0.258, 'neu': 0.742, 'pos': 0.0, 'compound': -0.7096}"
14,"{'neg': 0.615, 'neu': 0.385, 'pos': 0.0, 'compound': -0.296}"
15,"{'neg': 0.0, 'neu': 0.864, 'pos': 0.136, 'compound': 0.0258}"
16,"{'neg': 0.091, 'neu': 0.909, 'pos': 0.0, 'compound': -0.1531}"
17,"{'neg': 0.192, 'neu': 0.739, 'pos': 0.069, 'compound': -0.5423}"
18,"{'neg': 0.0, 'neu': 0.859, 'pos': 0.141, 'compound': 0.2023}"
19,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
20,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4404}"
21,"{'neg': 0.132, 'neu': 0.761, 'pos': 0.107, 'compound': -0.128}"
22,"{'neg': 0.0, 'neu': 0.824, 'pos': 0.176, 'compound': 0.4939}"
23,"{'neg': 0.146, 'neu': 0.854, 'pos': 0.0, 'compound': -0.4404}"
24,"{'neg': 0.258, 'neu': 0.742, 'pos': 0.0, 'compound': -0.7096}"
25,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
26,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
27,"{'neg': 0.0, 'neu': 0.915, 'pos': 0.085, 'compound': 0.0772}"
28,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
29,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
30,"{'neg': 0.0, 'neu': 0.648, 'pos': 0.352, 'compound': 0.8225}"
31,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
32,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
33,"{'neg': 0.265, 'neu': 0.735, 'pos': 0.0, 'compound': -0.5574}"
34,"{'neg': 0.0, 'neu': 0.864, 'pos': 0.136, 'compound': 0.0258}"
35,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
36,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
37,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
38,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
39,"{'neg': 0.326, 'neu': 0.674, 'pos': 0.0, 'compound': -0.5242}"
40,"{'neg': 0.179, 'neu': 0.692, 'pos': 0.128, 'compound': -0.1695}"
41,"{'neg': 0.481, 'neu': 0.519, 'pos': 0.0, 'compound': -0.8126}"
42,"{'neg': 0.136, 'neu': 0.864, 'pos': 0.0, 'compound': -0.2093}"
43,"{'neg': 0.0, 'neu': 0.714, 'pos': 0.286, 'compound': 0.8016}"
44,"{'neg': 0.136, 'neu': 0.758, 'pos': 0.106, 'compound': -0.1531}"
45,"{'neg': 0.0, 'neu': 0.268, 'pos': 0.732, 'compound': 0.8728}"
46,"{'neg': 0.148, 'neu': 0.664, 'pos': 0.188, 'compound': 0.2732}"
47,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
48,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
49,"{'neg': 0.326, 'neu': 0.674, 'pos': 0.0, 'compound': -0.8481}"
50,"{'neg': 0.0, 'neu': 0.862, 'pos': 0.138, 'compound': 0.1531}"
51,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
52,"{'neg': 0.0, 'neu': 0.812, 'pos': 0.188, 'compound': 0.5007}"
53,"{'neg': 0.0, 'neu': 0.658, 'pos': 0.342, 'compound': 0.3818}"
54,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
55,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
56,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
57,"{'neg': 0.143, 'neu': 0.857, 'pos': 0.0, 'compound': -0.25}"
58,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
