,text
0,"Sentiment(polarity=0.1, subjectivity=0.4)"
1,"Sentiment(polarity=0.0, subjectivity=0.0)"
2,"Sentiment(polarity=0.0, subjectivity=0.0)"
3,"Sentiment(polarity=-0.4, subjectivity=0.9)"
4,"Sentiment(polarity=-0.75, subjectivity=0.75)"
5,"Sentiment(polarity=0.0, subjectivity=0.0)"
6,"Sentiment(polarity=0.10227272727272727, subjectivity=0.5284090909090908)"
7,"Sentiment(polarity=0.7, subjectivity=0.6000000000000001)"
8,"Sentiment(polarity=0.0, subjectivity=0.0)"
9,"Sentiment(polarity=0.21428571428571427, subjectivity=0.42857142857142855)"
10,"Sentiment(polarity=0.25, subjectivity=0.3333333333333333)"
11,"Sentiment(polarity=-0.08571428571428572, subjectivity=0.15714285714285714)"
12,"Sentiment(polarity=0.4, subjectivity=0.5)"
13,"Sentiment(polarity=-0.35714285714285715, subjectivity=0.5785714285714285)"
14,"Sentiment(polarity=0.0, subjectivity=0.0)"
15,"Sentiment(polarity=0.0, subjectivity=0.0)"
16,"Sentiment(polarity=0.0, subjectivity=0.0)"
17,"Sentiment(polarity=-0.4, subjectivity=0.9)"
18,"Sentiment(polarity=0.41666666666666663, subjectivity=0.5)"
19,"Sentiment(polarity=0.0, subjectivity=0.0)"
20,"Sentiment(polarity=0.2, subjectivity=0.2)"
21,"Sentiment(polarity=0.0, subjectivity=0.0)"
22,"Sentiment(polarity=-0.1125, subjectivity=0.2875)"
23,"Sentiment(polarity=-0.25, subjectivity=0.5)"
24,"Sentiment(polarity=-0.35714285714285715, subjectivity=0.5785714285714285)"
25,"Sentiment(polarity=0.3333333333333333, subjectivity=0.5)"
26,"Sentiment(polarity=0.0, subjectivity=0.0)"
27,"Sentiment(polarity=0.5, subjectivity=0.5)"
28,"Sentiment(polarity=0.0, subjectivity=0.1)"
29,"Sentiment(polarity=0.0, subjectivity=0.0)"
30,"Sentiment(polarity=0.5454545454545454, subjectivity=0.5015151515151516)"
32,"Sentiment(polarity=0.13636363636363635, subjectivity=0.45454545454545453)"
33,"Sentiment(polarity=0.0, subjectivity=0.0)"
34,"Sentiment(polarity=0.0, subjectivity=0.0)"
35,"Sentiment(polarity=0.0, subjectivity=0.0)"
36,"Sentiment(polarity=0.0, subjectivity=0.0)"
37,"Sentiment(polarity=0.0, subjectivity=0.0)"
38,"Sentiment(polarity=0.0, subjectivity=0.0)"
39,"Sentiment(polarity=0.0, subjectivity=0.0)"
40,"Sentiment(polarity=0.0, subjectivity=0.0)"
41,"Sentiment(polarity=-0.8, subjectivity=0.9)"
42,"Sentiment(polarity=-0.2916666666666667, subjectivity=0.5416666666666666)"
43,"Sentiment(polarity=0.5, subjectivity=0.5333333333333333)"
44,"Sentiment(polarity=0.0, subjectivity=0.0)"
45,"Sentiment(polarity=5.551115123125783e-17, subjectivity=0.85)"
46,"Sentiment(polarity=-0.0638888888888889, subjectivity=0.28055555555555556)"
47,"Sentiment(polarity=0.0, subjectivity=0.0)"
48,"Sentiment(polarity=0.0, subjectivity=0.0)"
49,"Sentiment(polarity=-0.6999999999999998, subjectivity=0.6666666666666666)"
50,"Sentiment(polarity=0.1, subjectivity=0.45)"
51,"Sentiment(polarity=0.0, subjectivity=0.0)"
52,"Sentiment(polarity=0.0, subjectivity=0.0)"
53,"Sentiment(polarity=0.0, subjectivity=0.0)"
54,"Sentiment(polarity=0.0, subjectivity=0.0)"
55,"Sentiment(polarity=0.0, subjectivity=0.0)"
56,"Sentiment(polarity=0.0, subjectivity=0.0)"
57,"Sentiment(polarity=0.0, subjectivity=0.0)"
58,"Sentiment(polarity=0.0, subjectivity=0.0)"
59,"Sentiment(polarity=0.0, subjectivity=0.0)"
60,"Sentiment(polarity=0.0, subjectivity=0.0)"
61,"Sentiment(polarity=0.15, subjectivity=0.0)"
62,"Sentiment(polarity=0.0, subjectivity=0.0)"
63,"Sentiment(polarity=0.43333333333333335, subjectivity=0.6000000000000001)"
64,"Sentiment(polarity=-0.4, subjectivity=0.9)"
65,"Sentiment(polarity=0.05, subjectivity=0.5)"
66,"Sentiment(polarity=0.0, subjectivity=0.0)"
67,"Sentiment(polarity=-0.2916666666666667, subjectivity=0.5416666666666666)"
68,"Sentiment(polarity=0.1, subjectivity=0.4)"
69,"Sentiment(polarity=0.0, subjectivity=0.0)"
70,"Sentiment(polarity=-0.325, subjectivity=0.775)"
71,"Sentiment(polarity=0.0, subjectivity=0.0)"
72,"Sentiment(polarity=0.13636363636363635, subjectivity=0.45454545454545453)"
73,"Sentiment(polarity=0.5, subjectivity=0.5)"
74,"Sentiment(polarity=0.0, subjectivity=0.0)"
75,"Sentiment(polarity=0.1, subjectivity=0.2)"
76,"Sentiment(polarity=0.0, subjectivity=0.6)"
77,"Sentiment(polarity=0.43333333333333335, subjectivity=0.8333333333333334)"
78,"Sentiment(polarity=0.48750000000000004, subjectivity=0.825)"
79,"Sentiment(polarity=0.25, subjectivity=0.6375)"
80,"Sentiment(polarity=0.06818181818181818, subjectivity=0.22727272727272727)"
81,"Sentiment(polarity=0.06818181818181818, subjectivity=0.22727272727272727)"
