,text
0,"{'neg': 0.0, 'neu': 0.824, 'pos': 0.176, 'compound': 0.4576}"
1,"{'neg': 0.13, 'neu': 0.87, 'pos': 0.0, 'compound': -0.4019}"
2,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
3,"{'neg': 0.0, 'neu': 0.885, 'pos': 0.115, 'compound': 0.296}"
4,"{'neg': 0.0, 'neu': 0.794, 'pos': 0.206, 'compound': 0.5267}"
5,"{'neg': 0.417, 'neu': 0.583, 'pos': 0.0, 'compound': -0.6486}"
6,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
7,"{'neg': 0.173, 'neu': 0.575, 'pos': 0.252, 'compound': 0.2023}"
8,"{'neg': 0.325, 'neu': 0.675, 'pos': 0.0, 'compound': -0.8254}"
9,"{'neg': 0.0, 'neu': 0.448, 'pos': 0.552, 'compound': 0.7506}"
10,"{'neg': 0.449, 'neu': 0.551, 'pos': 0.0, 'compound': -0.9331}"
11,"{'neg': 0.325, 'neu': 0.675, 'pos': 0.0, 'compound': -0.8254}"
12,"{'neg': 0.0, 'neu': 0.445, 'pos': 0.555, 'compound': 0.7574}"
13,"{'neg': 0.0, 'neu': 0.813, 'pos': 0.187, 'compound': 0.3182}"
14,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
15,"{'neg': 0.0, 'neu': 0.788, 'pos': 0.212, 'compound': 0.5106}"
16,"{'neg': 0.0, 'neu': 0.888, 'pos': 0.112, 'compound': 0.34}"
17,"{'neg': 0.099, 'neu': 0.901, 'pos': 0.0, 'compound': -0.296}"
18,"{'neg': 0.119, 'neu': 0.881, 'pos': 0.0, 'compound': -0.4767}"
19,"{'neg': 0.685, 'neu': 0.315, 'pos': 0.0, 'compound': -0.2905}"
20,"{'neg': 0.129, 'neu': 0.804, 'pos': 0.067, 'compound': -0.34}"
21,"{'neg': 0.111, 'neu': 0.889, 'pos': 0.0, 'compound': -0.2516}"
22,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
23,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
24,"{'neg': 0.0, 'neu': 0.657, 'pos': 0.343, 'compound': 0.6997}"
25,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
26,"{'neg': 0.0, 'neu': 0.692, 'pos': 0.308, 'compound': 0.7906}"
27,"{'neg': 0.1, 'neu': 0.9, 'pos': 0.0, 'compound': -0.2755}"
28,"{'neg': 0.125, 'neu': 0.875, 'pos': 0.0, 'compound': -0.2484}"
29,"{'neg': 0.1, 'neu': 0.9, 'pos': 0.0, 'compound': -0.2732}"
30,"{'neg': 0.0, 'neu': 0.847, 'pos': 0.153, 'compound': 0.6103}"
31,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
32,"{'neg': 0.141, 'neu': 0.859, 'pos': 0.0, 'compound': -0.3182}"
33,"{'neg': 0.0, 'neu': 0.488, 'pos': 0.512, 'compound': 0.2732}"
34,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
35,"{'neg': 0.151, 'neu': 0.719, 'pos': 0.129, 'compound': -0.0772}"
36,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
37,"{'neg': 0.275, 'neu': 0.725, 'pos': 0.0, 'compound': -0.802}"
38,"{'neg': 0.152, 'neu': 0.736, 'pos': 0.112, 'compound': -0.228}"
39,"{'neg': 0.0, 'neu': 0.813, 'pos': 0.187, 'compound': 0.5574}"
40,"{'neg': 0.0, 'neu': 0.824, 'pos': 0.176, 'compound': 0.4939}"
41,"{'neg': 0.494, 'neu': 0.506, 'pos': 0.0, 'compound': -0.7783}"
42,"{'neg': 0.0, 'neu': 0.655, 'pos': 0.345, 'compound': 0.8591}"
43,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
44,"{'neg': 0.174, 'neu': 0.657, 'pos': 0.169, 'compound': -0.0258}"
45,"{'neg': 0.173, 'neu': 0.827, 'pos': 0.0, 'compound': -0.3182}"
46,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
47,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
48,"{'neg': 0.0, 'neu': 0.876, 'pos': 0.124, 'compound': 0.4019}"
49,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
50,"{'neg': 0.0, 'neu': 0.839, 'pos': 0.161, 'compound': 0.3612}"
51,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
52,"{'neg': 0.357, 'neu': 0.503, 'pos': 0.141, 'compound': -0.6486}"
53,"{'neg': 0.0, 'neu': 0.841, 'pos': 0.159, 'compound': 0.5574}"
54,"{'neg': 0.112, 'neu': 0.888, 'pos': 0.0, 'compound': -0.2263}"
55,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
56,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
57,"{'neg': 0.112, 'neu': 0.785, 'pos': 0.103, 'compound': -0.0516}"
58,"{'neg': 0.176, 'neu': 0.824, 'pos': 0.0, 'compound': -0.4939}"
59,"{'neg': 0.266, 'neu': 0.475, 'pos': 0.259, 'compound': -0.0527}"
60,"{'neg': 0.167, 'neu': 0.833, 'pos': 0.0, 'compound': -0.4939}"
61,"{'neg': 0.163, 'neu': 0.741, 'pos': 0.096, 'compound': -0.2263}"
62,"{'neg': 0.0, 'neu': 0.714, 'pos': 0.286, 'compound': 0.6369}"
63,"{'neg': 0.0, 'neu': 0.8, 'pos': 0.2, 'compound': 0.3612}"
64,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
65,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
66,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
67,"{'neg': 0.0, 'neu': 0.864, 'pos': 0.136, 'compound': 0.4576}"
68,"{'neg': 0.333, 'neu': 0.667, 'pos': 0.0, 'compound': -0.875}"
69,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
70,"{'neg': 0.168, 'neu': 0.76, 'pos': 0.072, 'compound': -0.5473}"
71,"{'neg': 0.0, 'neu': 0.823, 'pos': 0.177, 'compound': 0.3786}"
72,"{'neg': 0.092, 'neu': 0.751, 'pos': 0.156, 'compound': 0.2732}"
73,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
74,"{'neg': 0.119, 'neu': 0.881, 'pos': 0.0, 'compound': -0.4767}"
75,"{'neg': 0.0, 'neu': 0.663, 'pos': 0.337, 'compound': 0.9042}"
76,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
77,"{'neg': 0.236, 'neu': 0.764, 'pos': 0.0, 'compound': -0.5606}"
78,"{'neg': 0.0, 'neu': 0.663, 'pos': 0.337, 'compound': 0.7657}"
79,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
80,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
81,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
82,"{'neg': 0.133, 'neu': 0.485, 'pos': 0.382, 'compound': 0.6249}"
83,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
84,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
85,"{'neg': 0.0, 'neu': 0.667, 'pos': 0.333, 'compound': 0.6124}"
86,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
87,"{'neg': 0.0, 'neu': 0.27, 'pos': 0.73, 'compound': 0.4019}"
88,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
89,"{'neg': 0.0, 'neu': 0.847, 'pos': 0.153, 'compound': 0.5574}"
90,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
91,"{'neg': 0.0, 'neu': 0.868, 'pos': 0.132, 'compound': 0.4939}"
92,"{'neg': 0.091, 'neu': 0.909, 'pos': 0.0, 'compound': -0.25}"
93,"{'neg': 0.0, 'neu': 0.718, 'pos': 0.282, 'compound': 0.6705}"
94,"{'neg': 0.0, 'neu': 0.889, 'pos': 0.111, 'compound': 0.3612}"
95,"{'neg': 0.0, 'neu': 0.856, 'pos': 0.144, 'compound': 0.4019}"
96,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
97,"{'neg': 0.0, 'neu': 0.91, 'pos': 0.09, 'compound': 0.2235}"
98,"{'neg': 0.281, 'neu': 0.719, 'pos': 0.0, 'compound': -0.5106}"
99,"{'neg': 0.0, 'neu': 0.755, 'pos': 0.245, 'compound': 0.434}"
100,"{'neg': 0.098, 'neu': 0.8, 'pos': 0.102, 'compound': 0.0258}"
101,"{'neg': 0.332, 'neu': 0.668, 'pos': 0.0, 'compound': -0.8579}"
102,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
103,"{'neg': 0.155, 'neu': 0.591, 'pos': 0.253, 'compound': 0.323}"
104,"{'neg': 0.1, 'neu': 0.9, 'pos': 0.0, 'compound': -0.2732}"
105,"{'neg': 0.159, 'neu': 0.841, 'pos': 0.0, 'compound': -0.5267}"
106,"{'neg': 0.155, 'neu': 0.845, 'pos': 0.0, 'compound': -0.5413}"
107,"{'neg': 0.0, 'neu': 0.905, 'pos': 0.095, 'compound': 0.2732}"
108,"{'neg': 0.346, 'neu': 0.654, 'pos': 0.0, 'compound': -0.6416}"
109,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
110,"{'neg': 0.0, 'neu': 0.892, 'pos': 0.108, 'compound': 0.3182}"
111,"{'neg': 0.0, 'neu': 0.84, 'pos': 0.16, 'compound': 0.2732}"
112,"{'neg': 0.325, 'neu': 0.675, 'pos': 0.0, 'compound': -0.8254}"
113,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
